"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"knitr","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.33",NA,"R (>= 3.2.3)","evaluate (>= 0.10), highr, methods, markdown, stringr (>=
0.6), yaml (>= 2.1.19), xfun (>= 0.21), tools",NA,"formatR, testit, digest, rgl (>= 0.95.1201), codetools,
rmarkdown, htmlwidgets (>= 0.7), webshot, tikzDevice (>= 0.10),
tinytex, reticulate (>= 1.4), JuliaCall (>= 0.11.1), magick,
png, jpeg, gifski, xml2 (>= 1.2.0), httr, DBI (>= 0.4-1),
showtext, tibble, sass, bslib, ragg, styler (>= 1.2.0)",NA,"GPL",NA,NA,NA,NA,"no","4.1.0"
"labeling","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.4.2",NA,NA,"stats, graphics",NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","4.1.0"
"later","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.2.0",NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp","knitr, rmarkdown, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"lazyeval","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.2.2",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"leaflet","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","2.0.4.1",NA,"R (>= 3.1.0)","base64enc, crosstalk, htmlwidgets, htmltools, magrittr,
markdown, methods, png, RColorBrewer, raster, scales (>=
1.0.0), sp, stats, viridis (>= 0.5.1), leaflet.providers (>=
1.8.0)",NA,"knitr, maps, sf (>= 0.9-6), shiny, rgdal, rgeos, R6, RJSONIO,
purrr, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"leaflet.providers","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.9.0",NA,"R (>= 2.10)",NA,NA,"V8, jsonlite, testthat (>= 2.1.0)",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"lifecycle","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.0.0",NA,"R (>= 3.3)","glue, rlang (>= 0.4.10)",NA,"covr, crayon, knitr, rmarkdown, testthat (>= 3.0.1), tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"lubridate","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.7.10",NA,"methods, R (>= 3.2)","generics, Rcpp (>= 0.12.13)","Rcpp","covr, knitr, testthat (>= 2.1.0), vctrs (>= 0.3.0), rmarkdown","chron, timeDate, tis, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"magrittr","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","2.0.1",NA,NA,NA,NA,"covr, knitr, rlang, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"maps","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","3.3.0",NA,"R (>= 3.0.0)","graphics, utils",NA,"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, maptools,
rnaturalearth",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"maptools","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.1-1",NA,"R (>= 2.10), sp (>= 1.0-11)","foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices",NA,"rgeos (>= 0.1-8), spatstat.geom (>= 1.65-0), PBSmapping,
maps, RColorBrewer, raster, polyclip, plotrix, spatstat.linnet
(>= 1.65-3), spatstat.utils (>= 1.19.0), spatstat (>= 2.0-0)","gpclib","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"markdown","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.1",NA,"R (>= 2.11.1)","utils, xfun, mime (>= 0.3)",NA,"knitr, RCurl",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"memoise","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","2.0.0",NA,NA,"rlang (>= 0.4.10), cachem",NA,"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"mime","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.11",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.1.0"
"miniUI","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.1.1.1",NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"modelr","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.1.8",NA,"R (>= 3.2)","broom, magrittr, purrr (>= 0.2.2), rlang (>= 0.2.0), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs",NA,"compiler, covr, ggplot2, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"munsell","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.5.0",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"openssl","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.4.4",NA,NA,"askpass",NA,"testthat (>= 2.1.0), digest, knitr, rmarkdown, jsonlite,
jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"pillar","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.6.2",NA,NA,"cli, crayon (>= 1.3.4), ellipsis (>= 0.3.2), fansi, lifecycle,
rlang (>= 0.3.0), utf8 (>= 1.1.0), utils, vctrs (>= 0.3.8)",NA,"bit64, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nycflights13, palmerpenguins, rmarkdown,
scales, stringi, survival, testthat (>= 3.0.2), tibble, units
(>= 0.7.2), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"pkgbuild","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.2.0",NA,"R (>= 3.1)","callr (>= 3.2.0), cli, crayon, desc, prettyunits, R6,
rprojroot, withr (>= 2.1.2)",NA,"Rcpp, cpp11, testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"pkgconfig","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"pkgload","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.2.1",NA,NA,"cli, crayon, desc, methods, rlang, rprojroot, rstudioapi,
utils, withr",NA,"bitops, covr, pkgbuild, Rcpp, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"plotly","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","4.9.4.1",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr (>= 1.3.0), jsonlite (>= 1.6), magrittr,
digest, viridisLite, base64enc, htmltools (>= 0.3.6),
htmlwidgets (>= 1.5.2.9001), tidyr (>= 1.0.0), RColorBrewer,
dplyr, vctrs, tibble, lazyeval (>= 0.2.0), rlang (>= 0.4.10),
crosstalk, purrr, data.table, promises",NA,"MASS, maps, hexbin, ggthemes, GGally, testthat, knitr,
devtools, shiny (>= 1.1.0), shinytest (>= 1.3.0), curl,
rmarkdown, vdiffr, Cairo, broom, webshot, listviewer,
dendextend, sf, maptools, rgeos, png, IRdisplay, processx,
plotlyGeoAssets, forcats, palmerpenguins",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"plyr","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.8.6",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"png","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.1-7",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"praise","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"prettyunits","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.1.1",NA,NA,NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"processx","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","3.5.2",NA,NA,"ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.2.0), cli, codetools, covr, curl, debugme,
parallel, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"progress","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.2.2",NA,NA,"hms, prettyunits, R6, crayon",NA,"Rcpp, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"promises","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.2.0.1",NA,NA,"R6, Rcpp, later, rlang, stats, magrittr","later, Rcpp","testthat, future (>= 1.21.0), fastmap (>= 1.1.0), purrr,
knitr, rmarkdown, vembedr, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"protolite","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","2.1.1",NA,NA,"Rcpp (>= 0.12.12), jsonlite","Rcpp","spelling, curl, testthat, RProtoBuf, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"proxy","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.4-26",NA,"R (>= 3.4.0)","stats, utils",NA,"cba",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"ps","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.6.0",NA,"R (>= 3.1)","utils",NA,"callr, covr, curl, pingr, processx (>= 3.1.0), R6, rlang,
testthat, tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"purrr","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.3.4",NA,"R (>= 3.2)","magrittr (>= 1.5), rlang (>= 0.3.1)",NA,"covr, crayon, dplyr (>= 0.7.8), knitr, rmarkdown, testthat,
tibble, tidyselect",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"R6","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","2.5.0",NA,"R (>= 3.0)",NA,NA,"knitr, microbenchmark, pryr, testthat, ggplot2, scales",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"rapidjsonr","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.2.0",NA,NA,NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"rappdirs","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.3.3",NA,"R (>= 3.2)",NA,NA,"roxygen2, testthat (>= 3.0.0), covr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"raster","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","3.4-13",NA,"sp (>= 1.4.1), R (>= 3.5.0)","Rcpp, methods","Rcpp","rgdal (>= 1.5-8), rgeos (>= 0.3-8), ncdf4, igraph, tcltk,
parallel, rasterVis, MASS, sf, tinytest, gstat, fields,
exactextractr",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.1.0"
"rcmdcheck","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.3.3",NA,NA,"callr (>= 3.1.1.9000), cli (>= 1.1.0), crayon, desc (>=
1.2.0), digest, pkgbuild, prettyunits, R6, rprojroot,
sessioninfo (>= 1.1.1), utils, withr, xopen",NA,"covr, knitr, mockery, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"RColorBrewer","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.1-2",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.1.0"
"Rcpp","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.0.7",NA,NA,"methods, utils",NA,"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"RCurl","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.98-1.3",NA,"R (>= 3.4.0), methods","bitops",NA,"XML",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"readr","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","2.0.0",NA,"R (>= 3.1)","cli, clipr, crayon, hms (>= 0.4.1), methods, rlang, R6,
tibble, vroom (>= 1.5.2), utils, lifecycle (>= 0.2.0)","cpp11, tzdb (>= 0.1.1)","covr, curl, dplyr, knitr, rmarkdown, spelling, stringi,
testthat, tzdb (>= 0.1.1), withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"readxl","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.3.1",NA,NA,"cellranger, Rcpp (>= 0.12.18), tibble (>= 1.3.1), utils","progress, Rcpp","covr, knitr, rmarkdown, rprojroot (>= 1.1), testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"rematch","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.0.1",NA,NA,NA,NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"rematch2","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","2.1.2",NA,NA,"tibble",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"remotes","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","2.4.0",NA,"R (>= 3.0.0)","methods, stats, tools, utils",NA,"brew, callr, codetools, curl, covr, git2r (>= 0.23.0), knitr,
mockery, pkgbuild (>= 1.0.1), pingr, rmarkdown, rprojroot,
testthat, webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"reprex","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","2.0.1",NA,"R (>= 3.3)","callr (>= 3.6.0), cli (>= 2.3.1), clipr (>= 0.4.0), fs, glue,
knitr (>= 1.23), rlang (>= 0.4.0), rmarkdown, rstudioapi,
utils, withr (>= 2.3.0)",NA,"covr, fortunes, miniUI, mockr, rprojroot, sessioninfo, shiny,
spelling, styler (>= 1.2.0), testthat (>= 3.0.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"reshape2","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.4.4",NA,"R (>= 3.1)","plyr (>= 1.8.1), Rcpp, stringr","Rcpp","covr, lattice, testthat (>= 0.8.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"rgeos","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.5-5",NA,"R (>= 3.3.0), methods, sp (>= 1.1-0)","utils, stats, graphics","sp","maptools (>= 0.8-5), testthat, XML, maps, rgdal",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"rlang","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.4.11",NA,"R (>= 3.3.0)","utils",NA,"cli, covr, crayon, glue, magrittr, methods, pak, pillar,
rmarkdown, testthat (>= 3.0.0), vctrs (>= 0.2.3), withr","winch","MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"rmarkdown","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","2.9",NA,"R (>= 3.0)","tools, utils, knitr (>= 1.22), yaml (>= 2.1.19), htmltools (>=
0.3.5), evaluate (>= 0.13), jsonlite, tinytex (>= 0.31), xfun
(>= 0.21), methods, stringr (>= 1.2.0)",NA,"shiny (>= 1.6.0), tufte, testthat (>= 3.0.0), digest,
dygraphs, vctrs, tibble, fs, rsconnect, withr (>= 2.4.2), bslib
(>= 0.2.5.1), sass (>= 0.4.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"rnaturalearth","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.1.0",NA,"R (>= 3.1.1)","sp (>= 1.0.15), utils (>= 3.2.3), sf (>= 0.3-4)",NA,"rgdal, knitr (>= 1.12.3), testthat (>= 0.9.1), httr (>=
1.1.0), devtools (>= 1.10.0), rnaturalearthdata (>= 0.1.0),
rnaturalearthhires (>= 0.1.0), raster (>= 2.5-2), rgeos",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"rnaturalearthdata","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.1.0",NA,"R (>= 3.1.1)","sp (>= 1.0.15)",NA,"knitr (>= 1.12.3), testthat (>= 0.9.1)",NA,"CC0",NA,NA,NA,NA,"no","4.1.0"
"roxygen2","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","7.1.1",NA,"R (>= 3.2)","brew, commonmark, desc (>= 1.2.0), digest, knitr, methods,
pkgload (>= 1.0.2), purrr (>= 0.3.3), R6 (>= 2.1.2), Rcpp (>=
0.11.0), rlang, stringi, stringr (>= 1.0.0), utils, xml2","Rcpp","covr, devtools, rmarkdown, testthat (>= 2.1.0), R.methodsS3,
R.oo",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"rprojroot","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","2.0.2",NA,"R (>= 3.0.0)",NA,NA,"covr, knitr, lifecycle, mockr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"rscodeio","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.1.0",NA,"R (>= 3.3.0)","fs, purrr, rstudioapi",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"rstudioapi","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.13",NA,NA,NA,NA,"testthat, knitr, rmarkdown, clipr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"rversions","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","2.1.1",NA,NA,"curl, utils, xml2 (>= 1.0.0)",NA,"mockery, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"rvest","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.0.1",NA,"R (>= 3.2)","httr (>= 0.5), lifecycle (>= 1.0.0), magrittr, rlang (>=
0.4.10), selectr, tibble, xml2 (>= 1.3)",NA,"covr, glue, knitr, readr, rmarkdown, repurrrsive, spelling,
stringi (>= 0.3.1), testthat (>= 3.0.2), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"s2","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.0.6",NA,"R (>= 3.0.0)","Rcpp, wk","Rcpp, wk","testthat, vctrs",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"yes","4.1.0"
"sass","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.4.0",NA,NA,"fs, rlang (>= 0.4.10), htmltools (>= 0.5.1), R6, rappdirs",NA,"testthat, knitr, rmarkdown, withr, shiny, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"scales","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.1.1",NA,"R (>= 3.2)","farver (>= 2.0.3), labeling, lifecycle, munsell (>= 0.5), R6,
RColorBrewer, viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), testthat (>=
2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"selectr","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.4-2",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","4.1.0"
"sessioninfo","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.1.1",NA,NA,"cli, tools, utils, withr",NA,"callr, covr, mockery, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"sf","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.0-2",NA,"methods, R (>= 3.3.0)","classInt (>= 0.4-1), DBI (>= 0.8), graphics, grDevices, grid,
magrittr, Rcpp (>= 0.12.18), s2 (>= 1.0.5), stats, tools, units
(>= 0.6-0), utils","Rcpp","blob, covr, dplyr (>= 0.8-3), ggplot2, knitr, lwgeom (>=
0.2-1), maps, mapview, microbenchmark, odbc, pillar, pool,
raster, rgdal, rgeos, rlang, rmarkdown, RPostgres (>= 1.1.0),
RPostgreSQL, RSQLite, sp (>= 1.2-4), spatstat (>= 2.0-1),
spatstat.geom, spatstat.core, spatstat.linnet, spatstat.utils,
stars (>= 0.2-0), terra, testthat, tibble (>= 1.4.1), tidyr (>=
1.0-0), tidyselect (>= 1.0.0), tmap (>= 2.0), vctrs, wk",NA,"GPL-2 | MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"sfheaders","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.4.0",NA,NA,"geometries (>= 0.2.0), Rcpp","geometries, Rcpp","covr, knitr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"shiny","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.6.0",NA,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.5.2), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, digest (>= 0.6.25), htmltools (>=
0.5.0.9001), R6 (>= 2.0), sourcetools, later (>= 1.0.0),
promises (>= 1.1.0), tools, crayon, rlang (>= 0.4.9), fastmap
(>= 1.0.0), withr, commonmark (>= 1.7), glue (>= 1.3.2), bslib
(>= 0.2.2.9002), cachem, ellipsis, lifecycle (>= 0.2.0)",NA,"datasets, Cairo (>= 1.5-5), testthat (>= 2.1.1), knitr (>=
1.6), markdown, rmarkdown, ggplot2, reactlog (>= 1.0.0),
magrittr, shinytest (>= 1.4.0.9003), yaml, future, dygraphs,
ragg, showtext, sass",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"shinydashboard","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.7.1",NA,"R (>= 3.0)","utils, shiny (>= 1.0.0), htmltools (>= 0.2.6), promises",NA,NA,NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"shinyjs","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","2.0.0",NA,"R (>= 3.1.0)","digest (>= 0.6.8), htmltools (>= 0.2.9), jsonlite, shiny (>=
1.0.0)",NA,"knitr (>= 1.7), rmarkdown, shinyAce, shinydisconnect,
testthat (>= 0.9.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"shinythemes","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.2.0",NA,"R (>= 3.0.0)","shiny (>= 0.11)",NA,NA,NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"shinyWidgets","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.6.0",NA,"R (>= 3.1.0)","bslib, sass, shiny (>= 0.14), htmltools, jsonlite, grDevices",NA,"shinydashboard, testthat, covr, shinydashboardPlus (>=
2.0.0), bs4Dash, argonR, argonDash, tablerDash, ggplot2, DT,
scales",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"sourcetools","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.1.7",NA,"R (>= 3.0.2)",NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"sp","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.4-5",NA,"R (>= 3.0.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, rgdal (>= 1.2-3), rgeos (>= 0.3-13), gstat,
maptools, deldir",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"stringi","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.7.3",NA,"R (>= 3.1)","tools, utils, stats",NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.1.0"
"stringr","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.4.0",NA,"R (>= 3.1)","glue (>= 1.2.0), magrittr, stringi (>= 1.1.7)",NA,"covr, htmltools, htmlwidgets, knitr, rmarkdown, testthat",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"sys","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","3.4",NA,NA,NA,NA,"unix (>= 1.4), spelling, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"systemfonts","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","1.0.2",NA,"R (>= 3.2.0)",NA,"cpp11 (>= 0.2.1)","testthat (>= 2.1.0), covr, knitr, rmarkdown, tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"testthat","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","3.0.4",NA,"R (>= 3.1)","brio, callr (>= 3.5.1), cli (>= 2.2.0), crayon (>= 1.3.4),
desc, digest, ellipsis (>= 0.2.0), evaluate, jsonlite,
lifecycle, magrittr, methods, pkgload, praise, processx, ps (>=
1.3.4), R6 (>= 2.2.0), rlang (>= 0.4.9), utils, waldo (>=
0.2.4), withr (>= 2.3.0)",NA,"covr, curl (>= 0.9.5), diffviewer (>= 0.1.0), knitr, mockery,
rmarkdown, rstudioapi, shiny, usethis, vctrs (>= 0.1.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"thematic","/home/rstudio-user/R/x86_64-pc-linux-gnu-library/4.1","0.1.2.1",NA,"R (>= 3.0.0)","utils, graphics, grDevices, grid, farver, rlang, scales,
rstudioapi (>= 0.8), rappdirs, ggplot2 (>= 3.3.0)",NA,"lattice, stats, withr, sysfonts, showtext, Cairo,
systemfonts, ragg, knitr, rmarkdown, htmltools, shiny (>=
1.5.0), bslib, testthat, gganimate, vdiffr (>= 1.0.0), svglite,
jsonlite, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
